fdc_id,description,food_category_id,is_breakfast,is_morning_snack,is_lunch,is_afternoon_snack,is_dinner,is_beverage,calories,protein,fat,cholesterol,carbohydrate,sugar,sodium,calcium,iron,potassium,vitamin_c
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,1,1,1,1,1,0,374.0,7.12,17.12,59.0,47.84,24.9,510.0,73.0,0.98,350.0,0.0
167532,"Bread, white wheat",18,1,1,1,1,1,0,238.0,10.66,2.15,0.0,43.91,5.0,478.0,684.0,4.89,127.0,0.0
167536,"Snacks, beef jerky, chopped and formed",23,0,1,0,1,0,0,410.0,33.2,25.6,48.0,11.0,9.0,1785.0,20.0,5.42,597.0,0.0
167537,"Snacks, corn-based, extruded, chips, plain",23,0,1,0,1,0,0,539.0,6.17,33.36,0.0,57.27,0.27,514.0,138.0,1.2,144.0,0.0
167542,"Snacks, granola bars, hard, plain",23,0,1,0,1,0,0,471.0,10.1,19.8,0.0,64.4,28.57,294.0,61.0,2.95,336.0,0.9
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,0,1,0,1,0,0,508.0,10.2,31.1,12.0,53.4,23.74,193.0,108.0,1.45,339.0,0.6
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,0,1,0,1,0,0,583.0,7.29,43.55,0.0,45.06,0.46,909.0,4.0,1.98,182.0,0.3
167550,"Snacks, popcorn, cakes",23,0,1,0,1,0,0,384.0,9.7,3.1,0.0,80.1,0.72,288.0,9.0,1.87,327.0,0.0
167551,"Snacks, popcorn, caramel-coated, with peanuts",23,0,1,0,1,0,0,400.0,6.4,7.8,0.0,80.7,45.36,177.0,66.0,3.91,355.0,0.0
167552,"Snacks, popcorn, caramel-coated, without peanuts",23,0,1,0,1,0,0,431.0,3.8,12.8,0.0,79.1,53.19,206.0,43.0,1.74,109.0,0.0
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",23,0,1,0,1,0,0,502.0,4.56,26.14,0.0,64.76,0.63,450.0,29.0,1.11,760.0,12.0
167555,"Snacks, pretzels, hard, plain, salted",23,0,1,0,1,0,0,384.0,10.04,2.93,0.0,80.39,2.21,1240.0,27.0,4.58,223.0,2.1
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,0,1,0,1,0,0,457.0,7.5,16.7,0.0,70.9,38.8,569.0,74.0,2.0,225.0,0.5
167558,"Snacks, tortilla chips, plain, white corn, salted",23,0,1,0,1,0,0,472.0,7.1,20.68,0.0,67.78,0.78,328.0,106.0,1.52,182.0,0.0
167559,"Snacks, tortilla chips, nacho cheese",23,0,1,0,1,0,0,519.0,7.36,27.42,0.0,60.81,2.59,691.0,137.0,1.16,223.0,0.4
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",11,1,1,1,1,1,0,242.0,3.24,10.3,0.0,33.99,1.16,77.0,10.0,0.74,704.0,2.7
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",11,1,1,1,1,1,0,182.0,2.16,8.92,0.0,35.58,12.9,146.0,52.0,0.77,409.0,7.5
